DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point,FORECAST_TIMESTAMP
7,2018-04-04,23380,1F,F,30,30,"",2018-03-28T14:58:44Z
7,2018-04-04,22850,1S,T,100,130,Om,2018-03-28T14:58:44Z
7,2018-04-04,23640,1A,P,200,230,"",2018-03-28T14:58:44Z
7,2018-04-04,23210,04,F,400,400,"",2018-03-28T14:58:44Z
7,2018-04-04,22970,1B,T,430,730,"",2018-03-28T14:58:44Z
7,2018-04-04,34480,2F,P,800,900,"",2018-03-28T14:58:44Z
7,2018-04-04,34240,2A,P,930,1030,"",2018-03-28T14:58:44Z
7,2018-04-04,34610,2B,P,1100,1300,DM,2018-03-28T14:58:44Z
7,2018-04-04,34150,3B,T,1330,1630,Dm,2018-03-28T14:58:44Z
7,2018-04-04,37030,3C,P,1700,1830,"",2018-03-28T14:58:44Z
7,2018-04-04,37490,4A,T,1900,2000,"",2018-03-28T14:58:44Z
7,2018-04-04,38980,4B,P,2030,2130,EM,2018-03-28T14:58:44Z
7,2018-04-04,26120,4C,F,2400,2400,"",2018-03-28T14:58:44Z
7,2018-04-06,24590,1F,F,30,30,"",2018-03-30T16:45:29Z
7,2018-04-06,23940,1S,T,100,130,"",2018-03-30T16:45:29Z
7,2018-04-06,24720,1A,P,200,230,"",2018-03-30T16:45:29Z
7,2018-04-06,23790,04,F,400,400,"",2018-03-30T16:45:29Z
7,2018-04-06,23320,1B,T,430,730,Om,2018-03-30T16:45:29Z
7,2018-04-06,35760,2F,P,800,900,"",2018-03-30T16:45:29Z
7,2018-04-06,35910,2A,P,930,1030,DM,2018-03-30T16:45:29Z
7,2018-04-06,35880,2B,P,1100,1300,"",2018-03-30T16:45:29Z
7,2018-04-06,33440,3B,T,1330,1630,Dm,2018-03-30T16:45:29Z
7,2018-04-06,36760,3C,P,1700,1830,"",2018-03-30T16:45:29Z
7,2018-04-06,36900,4A,T,1900,2000,"",2018-03-30T16:45:29Z
7,2018-04-06,37490,4B,P,2030,2130,EM,2018-03-30T16:45:29Z
7,2018-04-06,27050,4C,F,2400,2400,"",2018-03-30T16:45:29Z
7,2018-04-07,24530,1F,F,30,30,"",2018-03-31T15:04:39Z
7,2018-04-07,23940,1S,T,100,130,"",2018-03-31T15:04:39Z
7,2018-04-07,24740,1A,P,200,230,"",2018-03-31T15:04:39Z
7,2018-04-07,21960,04,F,400,400,Om,2018-03-31T15:04:39Z
7,2018-04-07,22550,1B,T,430,730,"",2018-03-31T15:04:39Z
7,2018-04-07,29970,2F,P,800,900,"",2018-03-31T15:04:39Z
7,2018-04-07,30920,2A,P,930,1030,DM,2018-03-31T15:04:39Z
7,2018-04-07,30030,2B,P,1100,1300,"",2018-03-31T15:04:39Z
7,2018-04-07,27040,3B,T,1330,1630,Dm,2018-03-31T15:04:39Z
7,2018-04-07,31220,3C,P,1700,1830,"",2018-03-31T15:04:39Z
7,2018-04-07,32810,4A,T,1900,2000,"",2018-03-31T15:04:39Z
7,2018-04-07,34110,4B,P,2030,2130,EM,2018-03-31T15:04:39Z
7,2018-04-07,25630,4C,F,2400,2400,"",2018-03-31T15:04:39Z
7,2018-04-08,23570,1F,F,30,30,"",2018-04-01T13:05:27Z
7,2018-04-08,22880,1S,T,100,130,"",2018-04-01T13:05:27Z
7,2018-04-08,23390,1A,P,200,230,"",2018-04-01T13:05:27Z
7,2018-04-08,22310,04,F,400,400,"",2018-04-01T13:05:27Z
7,2018-04-08,21660,1B,T,430,730,Om,2018-04-01T13:05:27Z
7,2018-04-08,27020,2F,P,800,900,"",2018-04-01T13:05:27Z
7,2018-04-08,28760,2A,P,930,1030,"",2018-04-01T13:05:27Z
7,2018-04-08,29450,2B,P,1100,1300,DM,2018-04-01T13:05:27Z
7,2018-04-08,27210,3B,T,1330,1630,Dm,2018-04-01T13:05:27Z
7,2018-04-08,31780,3C,P,1700,1830,"",2018-04-01T13:05:27Z
7,2018-04-08,32820,4A,T,1900,2000,"",2018-04-01T13:05:27Z
7,2018-04-08,34120,4B,P,2030,2130,EM,2018-04-01T13:05:27Z
7,2018-04-08,24340,4C,F,2400,2400,"",2018-04-01T13:05:27Z
7,2018-04-09,22750,1F,F,30,30,"",2018-04-02T16:20:24Z
7,2018-04-09,22310,1S,T,100,130,"",2018-04-02T16:20:24Z
7,2018-04-09,23010,1A,P,200,230,"",2018-04-02T16:20:24Z
7,2018-04-09,22280,04,F,400,400,"",2018-04-02T16:20:24Z
7,2018-04-09,21840,1B,T,430,730,Om,2018-04-02T16:20:24Z
7,2018-04-09,35160,2F,P,800,900,"",2018-04-02T16:20:24Z
7,2018-04-09,35320,2A,P,930,1030,DM,2018-04-02T16:20:24Z
7,2018-04-09,34360,2B,P,1100,1300,"",2018-04-02T16:20:24Z
7,2018-04-09,32700,3B,T,1330,1630,Dm,2018-04-02T16:20:24Z
7,2018-04-09,36100,3C,P,1700,1830,"",2018-04-02T16:20:24Z
7,2018-04-09,36370,4A,T,1900,2000,"",2018-04-02T16:20:24Z
7,2018-04-09,37780,4B,P,2030,2130,EM,2018-04-02T16:20:24Z
7,2018-04-09,26210,4C,F,2400,2400,"",2018-04-02T16:20:24Z
7,2018-04-10,24670,1F,F,30,30,"",2018-04-03T15:30:30Z
7,2018-04-10,23820,1S,T,100,130,Om,2018-04-03T15:30:30Z
7,2018-04-10,25190,1A,P,200,230,"",2018-04-03T15:30:30Z
7,2018-04-10,24490,04,F,400,400,"",2018-04-03T15:30:30Z
7,2018-04-10,24120,1B,T,430,730,"",2018-04-03T15:30:30Z
7,2018-04-10,36840,2F,P,800,900,DM,2018-04-03T15:30:30Z
7,2018-04-10,36460,2A,P,930,1030,"",2018-04-03T15:30:30Z
7,2018-04-10,35490,2B,P,1100,1300,"",2018-04-03T15:30:30Z
7,2018-04-10,33570,3B,T,1330,1630,Dm,2018-04-03T15:30:30Z
7,2018-04-10,37360,3C,P,1700,1830,"",2018-04-03T15:30:30Z
7,2018-04-10,38140,4A,T,1900,2000,"",2018-04-03T15:30:30Z
7,2018-04-10,38510,4B,P,2030,2130,EM,2018-04-03T15:30:30Z
7,2018-04-10,26950,4C,F,2400,2400,"",2018-04-03T15:30:30Z
7,2018-04-11,24650,1F,F,30,30,"",2018-04-04T12:04:57Z
7,2018-04-11,23950,1S,T,100,130,Om,2018-04-04T12:04:57Z
7,2018-04-11,25520,1A,P,200,230,"",2018-04-04T12:04:57Z
7,2018-04-11,23960,04,F,400,400,"",2018-04-04T12:04:57Z
7,2018-04-11,24220,1B,T,430,730,"",2018-04-04T12:04:57Z
7,2018-04-11,37140,2F,P,800,900,DM,2018-04-04T12:04:57Z
7,2018-04-11,36840,2A,P,930,1030,"",2018-04-04T12:04:57Z
7,2018-04-11,36300,2B,P,1100,1300,"",2018-04-04T12:04:57Z
7,2018-04-11,33660,3B,T,1330,1630,Dm,2018-04-04T12:04:57Z
7,2018-04-11,37300,3C,P,1700,1830,"",2018-04-04T12:04:57Z
7,2018-04-11,37140,4A,T,1900,2000,"",2018-04-04T12:04:57Z
7,2018-04-11,38300,4B,P,2030,2130,EM,2018-04-04T12:04:57Z
7,2018-04-11,26990,4C,F,2400,2400,"",2018-04-04T12:04:57Z
7,2018-04-12,25610,1F,F,30,30,"",2018-04-05T15:17:13Z
7,2018-04-12,24650,1S,T,100,130,"",2018-04-05T15:17:13Z
7,2018-04-12,25860,1A,P,200,230,"",2018-04-05T15:17:13Z
7,2018-04-12,24210,04,F,400,400,"",2018-04-05T15:17:13Z
7,2018-04-12,24050,1B,T,430,730,Om,2018-04-05T15:17:13Z
7,2018-04-12,37600,2F,P,800,900,DM,2018-04-05T15:17:13Z
7,2018-04-12,37260,2A,P,930,1030,"",2018-04-05T15:17:13Z
7,2018-04-12,36710,2B,P,1100,1300,"",2018-04-05T15:17:13Z
7,2018-04-12,35380,3B,T,1330,1630,Dm,2018-04-05T15:17:13Z
7,2018-04-12,38230,3C,P,1700,1830,"",2018-04-05T15:17:13Z
7,2018-04-12,38200,4A,T,1900,2000,"",2018-04-05T15:17:13Z
7,2018-04-12,38370,4B,P,2030,2130,EM,2018-04-05T15:17:13Z
7,2018-04-12,27150,4C,F,2400,2400,"",2018-04-05T15:17:13Z
7,2018-04-13,25060,1F,F,30,30,"",2018-04-06T13:20:18Z
7,2018-04-13,24390,1S,T,100,130,"",2018-04-06T13:20:18Z
7,2018-04-13,25270,1A,P,200,230,"",2018-04-06T13:20:18Z
7,2018-04-13,24160,04,F,400,400,"",2018-04-06T13:20:18Z
7,2018-04-13,23790,1B,T,430,730,Om,2018-04-06T13:20:18Z
7,2018-04-13,37030,2F,P,800,900,"",2018-04-06T13:20:18Z
7,2018-04-13,37230,2A,P,930,1030,DM,2018-04-06T13:20:18Z
7,2018-04-13,36180,2B,P,1100,1300,"",2018-04-06T13:20:18Z
7,2018-04-13,33290,3B,T,1330,1630,Dm,2018-04-06T13:20:18Z
7,2018-04-13,36450,3C,P,1700,1830,"",2018-04-06T13:20:18Z
7,2018-04-13,36420,4A,T,1900,2000,"",2018-04-06T13:20:18Z
7,2018-04-13,36560,4B,P,2030,2130,EM,2018-04-06T13:20:18Z
7,2018-04-13,26840,4C,F,2400,2400,"",2018-04-06T13:20:18Z
7,2018-04-14,25100,1F,F,30,30,"",2018-04-07T14:48:38Z
7,2018-04-14,24670,1S,T,100,130,"",2018-04-07T14:48:38Z
7,2018-04-14,24930,1A,P,200,230,"",2018-04-07T14:48:38Z
7,2018-04-14,23840,04,F,400,400,"",2018-04-07T14:48:38Z
7,2018-04-14,23700,1B,T,430,730,Om,2018-04-07T14:48:38Z
7,2018-04-14,30550,2F,P,800,900,"",2018-04-07T14:48:38Z
7,2018-04-14,31480,2A,P,930,1030,DM,2018-04-07T14:48:38Z
7,2018-04-14,30170,2B,P,1100,1300,"",2018-04-07T14:48:38Z
7,2018-04-14,27620,3B,T,1330,1630,Dm,2018-04-07T14:48:38Z
7,2018-04-14,32300,3C,P,1700,1830,"",2018-04-07T14:48:38Z
7,2018-04-14,32540,4A,T,1900,2000,"",2018-04-07T14:48:38Z
7,2018-04-14,33690,4B,P,2030,2130,EM,2018-04-07T14:48:38Z
7,2018-04-14,25450,4C,F,2400,2400,"",2018-04-07T14:48:38Z
7,2018-04-15,23600,1F,F,30,30,"",2018-04-08T14:01:31Z
7,2018-04-15,23170,1S,T,100,130,"",2018-04-08T14:01:31Z
7,2018-04-15,23350,1A,P,200,230,"",2018-04-08T14:01:31Z
7,2018-04-15,22520,04,F,400,400,"",2018-04-08T14:01:31Z
7,2018-04-15,21920,1B,T,430,730,Om,2018-04-08T14:01:31Z
7,2018-04-15,26310,2F,P,800,900,"",2018-04-08T14:01:31Z
7,2018-04-15,27820,2A,P,930,1030,"",2018-04-08T14:01:31Z
7,2018-04-15,28250,2B,P,1100,1300,DM,2018-04-08T14:01:31Z
7,2018-04-15,26380,3B,T,1330,1630,Dm,2018-04-08T14:01:31Z
7,2018-04-15,31700,3C,P,1700,1830,"",2018-04-08T14:01:31Z
7,2018-04-15,31920,4A,T,1900,2000,"",2018-04-08T14:01:31Z
7,2018-04-15,33680,4B,P,2030,2130,EM,2018-04-08T14:01:31Z
7,2018-04-15,24600,4C,F,2400,2400,"",2018-04-08T14:01:31Z
7,2018-04-16,22360,1F,F,30,30,"",2018-04-09T13:31:38Z
7,2018-04-16,21780,1S,T,100,130,Om,2018-04-09T13:31:38Z
7,2018-04-16,22420,1A,P,200,230,"",2018-04-09T13:31:38Z
7,2018-04-16,22400,04,F,400,400,"",2018-04-09T13:31:38Z
7,2018-04-16,22140,1B,T,430,730,"",2018-04-09T13:31:38Z
7,2018-04-16,34640,2F,P,800,900,DM,2018-04-09T13:31:38Z
7,2018-04-16,34390,2A,P,930,1030,"",2018-04-09T13:31:38Z
7,2018-04-16,33390,2B,P,1100,1300,"",2018-04-09T13:31:38Z
7,2018-04-16,31400,3B,T,1330,1630,Dm,2018-04-09T13:31:38Z
7,2018-04-16,35980,3C,P,1700,1830,"",2018-04-09T13:31:38Z
7,2018-04-16,36400,4A,T,1900,2000,"",2018-04-09T13:31:38Z
7,2018-04-16,36580,4B,P,2030,2130,EM,2018-04-09T13:31:38Z
7,2018-04-16,25560,4C,F,2400,2400,"",2018-04-09T13:31:38Z
7,2018-04-17,23320,1F,F,30,30,"",2018-04-10T15:53:33Z
7,2018-04-17,22830,1S,T,100,130,"",2018-04-10T15:53:33Z
7,2018-04-17,23060,1A,P,200,230,"",2018-04-10T15:53:33Z
7,2018-04-17,22760,04,F,400,400,"",2018-04-10T15:53:33Z
7,2018-04-17,22650,1B,T,430,730,Om,2018-04-10T15:53:33Z
7,2018-04-17,34370,2F,P,800,900,DM,2018-04-10T15:53:33Z
7,2018-04-17,33330,2A,P,930,1030,"",2018-04-10T15:53:33Z
7,2018-04-17,31800,2B,P,1100,1300,"",2018-04-10T15:53:33Z
7,2018-04-17,29430,3B,T,1330,1630,Dm,2018-04-10T15:53:33Z
7,2018-04-17,34280,3C,P,1700,1830,"",2018-04-10T15:53:33Z
7,2018-04-17,34700,4A,T,1900,1930,"",2018-04-10T15:53:33Z
7,2018-04-17,35590,4B,P,2000,2130,EM,2018-04-10T15:53:33Z
7,2018-04-17,25010,4C,F,2400,2400,"",2018-04-10T15:53:33Z
7,2018-04-18,23490,1F,F,30,30,"",2018-04-11T11:50:44Z
7,2018-04-18,22930,1S,T,100,130,"",2018-04-11T11:50:44Z
7,2018-04-18,22520,1A,P,200,230,Om,2018-04-11T11:50:44Z
7,2018-04-18,22920,04,F,400,400,"",2018-04-11T11:50:44Z
7,2018-04-18,22880,1B,T,430,730,"",2018-04-11T11:50:44Z
7,2018-04-18,35000,2F,P,800,900,DM,2018-04-11T11:50:44Z
7,2018-04-18,34040,2A,P,930,1030,"",2018-04-11T11:50:44Z
7,2018-04-18,31880,2B,P,1100,1300,"",2018-04-11T11:50:44Z
7,2018-04-18,29460,3B,T,1330,1630,Dm,2018-04-11T11:50:44Z
7,2018-04-18,33310,3C,P,1700,1830,"",2018-04-11T11:50:44Z
7,2018-04-18,33990,4A,T,1900,1930,"",2018-04-11T11:50:44Z
7,2018-04-18,35560,4B,P,2000,2130,EM,2018-04-11T11:50:44Z
7,2018-04-18,25270,4C,F,2400,2400,"",2018-04-11T11:50:44Z
7,2018-04-19,24240,1F,F,30,30,"",2018-04-12T10:55:25Z
7,2018-04-19,23520,1S,T,100,130,"",2018-04-12T10:55:25Z
7,2018-04-19,22790,1A,P,200,230,Om,2018-04-12T10:55:25Z
7,2018-04-19,23040,04,F,400,400,"",2018-04-12T10:55:25Z
7,2018-04-19,23480,1B,T,430,730,"",2018-04-12T10:55:25Z
7,2018-04-19,35760,2F,P,800,900,DM,2018-04-12T10:55:25Z
7,2018-04-19,35090,2A,P,930,1030,"",2018-04-12T10:55:25Z
7,2018-04-19,32240,2B,P,1100,1300,"",2018-04-12T10:55:25Z
7,2018-04-19,29980,3B,T,1330,1630,Dm,2018-04-12T10:55:25Z
7,2018-04-19,33060,3C,P,1700,1830,"",2018-04-12T10:55:25Z
7,2018-04-19,33880,4A,T,1900,1930,"",2018-04-12T10:55:25Z
7,2018-04-19,35630,4B,P,2000,2130,EM,2018-04-12T10:55:25Z
7,2018-04-19,25690,4C,F,2400,2400,"",2018-04-12T10:55:25Z
7,2018-04-20,23940,1F,F,30,30,"",2018-04-13T13:17:19Z
7,2018-04-20,23250,1S,T,100,130,"",2018-04-13T13:17:19Z
7,2018-04-20,23460,1A,P,200,230,"",2018-04-13T13:17:19Z
7,2018-04-20,22950,04,F,400,400,"",2018-04-13T13:17:19Z
7,2018-04-20,22920,1B,T,430,730,Om,2018-04-13T13:17:19Z
7,2018-04-20,35340,2F,P,800,900,DM,2018-04-13T13:17:19Z
7,2018-04-20,34350,2A,P,930,1030,"",2018-04-13T13:17:19Z
7,2018-04-20,31700,2B,P,1100,1300,"",2018-04-13T13:17:19Z
7,2018-04-20,28290,3B,T,1330,1630,Dm,2018-04-13T13:17:19Z
7,2018-04-20,31020,3C,P,1700,1830,"",2018-04-13T13:17:19Z
7,2018-04-20,32330,4A,T,1900,1930,"",2018-04-13T13:17:19Z
7,2018-04-20,33700,4B,P,2000,2130,EM,2018-04-13T13:17:19Z
7,2018-04-20,25200,4C,F,2400,2400,"",2018-04-13T13:17:19Z
7,2018-04-21,24050,1F,F,30,30,"",2018-04-14T13:06:12Z
7,2018-04-21,23170,1S,T,100,130,"",2018-04-14T13:06:12Z
7,2018-04-21,22620,1A,P,200,230,"",2018-04-14T13:06:12Z
7,2018-04-21,21970,04,F,400,400,"",2018-04-14T13:06:12Z
7,2018-04-21,21590,1B,T,430,730,Om,2018-04-14T13:06:12Z
7,2018-04-21,29600,2F,P,800,900,"",2018-04-14T13:06:12Z
7,2018-04-21,29670,2A,P,930,1030,DM,2018-04-14T13:06:12Z
7,2018-04-21,27380,2B,P,1100,1300,"",2018-04-14T13:06:12Z
7,2018-04-21,24340,3B,T,1330,1630,Dm,2018-04-14T13:06:12Z
7,2018-04-21,27750,3C,P,1700,1830,"",2018-04-14T13:06:12Z
7,2018-04-21,30070,4A,T,1900,1930,"",2018-04-14T13:06:12Z
7,2018-04-21,31290,4B,P,2000,2130,EM,2018-04-14T13:06:12Z
7,2018-04-21,24380,4C,F,2400,2400,"",2018-04-14T13:06:12Z
7,2018-04-22,23040,1F,F,30,30,"",2018-04-15T11:55:53Z
7,2018-04-22,22230,1S,T,100,130,"",2018-04-15T11:55:53Z
7,2018-04-22,21850,1A,P,200,230,"",2018-04-15T11:55:53Z
7,2018-04-22,21180,04,F,400,400,"",2018-04-15T11:55:53Z
7,2018-04-22,20510,1B,T,430,730,Om,2018-04-15T11:55:53Z
7,2018-04-22,26080,2F,P,800,900,"",2018-04-15T11:55:53Z
7,2018-04-22,27590,2A,P,930,1030,DM,2018-04-15T11:55:53Z
7,2018-04-22,26680,2B,P,1100,1300,"",2018-04-15T11:55:53Z
7,2018-04-22,24600,3B,T,1330,1630,Dm,2018-04-15T11:55:53Z
7,2018-04-22,27540,3C,P,1700,1830,"",2018-04-15T11:55:53Z
7,2018-04-22,30820,4A,T,1900,1930,"",2018-04-15T11:55:53Z
7,2018-04-22,31700,4B,P,2000,2130,EM,2018-04-15T11:55:53Z
7,2018-04-22,23400,4C,F,2400,2400,"",2018-04-15T11:55:53Z
7,2018-04-23,21900,1F,F,30,30,"",2018-04-16T14:30:13Z
7,2018-04-23,21360,1S,T,100,130,"",2018-04-16T14:30:13Z
7,2018-04-23,21850,1A,P,200,230,"",2018-04-16T14:30:13Z
7,2018-04-23,21120,04,F,400,400,"",2018-04-16T14:30:13Z
7,2018-04-23,20960,1B,T,430,730,Om,2018-04-16T14:30:13Z
7,2018-04-23,34640,2F,P,800,900,DM,2018-04-16T14:30:13Z
7,2018-04-23,33930,2A,P,930,1030,"",2018-04-16T14:30:13Z
7,2018-04-23,31940,2B,P,1100,1300,"",2018-04-16T14:30:13Z
7,2018-04-23,29690,3B,T,1330,1630,Dm,2018-04-16T14:30:13Z
7,2018-04-23,33960,3C,P,1700,1830,"",2018-04-16T14:30:13Z
7,2018-04-23,34430,4A,T,1900,2030,"",2018-04-16T14:30:13Z
7,2018-04-23,34980,4B,P,2100,2130,EM,2018-04-16T14:30:13Z
7,2018-04-23,24460,4C,F,2400,2400,"",2018-04-16T14:30:13Z
7,2018-04-24,22060,1F,F,30,30,"",2018-04-17T14:34:25Z
7,2018-04-24,21450,1S,T,100,130,"",2018-04-17T14:34:25Z
7,2018-04-24,21950,1A,P,200,230,"",2018-04-17T14:34:25Z
7,2018-04-24,21180,04,F,400,400,"",2018-04-17T14:34:25Z
7,2018-04-24,20900,1B,T,430,730,Om,2018-04-17T14:34:25Z
7,2018-04-24,34170,2F,P,800,900,DM,2018-04-17T14:34:25Z
7,2018-04-24,33410,2A,P,930,1030,"",2018-04-17T14:34:25Z
7,2018-04-24,31710,2B,P,1100,1300,"",2018-04-17T14:34:25Z
7,2018-04-24,29400,3B,T,1330,1630,Dm,2018-04-17T14:34:25Z
7,2018-04-24,33740,3C,P,1700,1830,"",2018-04-17T14:34:25Z
7,2018-04-24,33830,4A,T,1900,2030,"",2018-04-17T14:34:25Z
7,2018-04-24,34230,4B,P,2100,2130,EM,2018-04-17T14:34:25Z
7,2018-04-24,23780,4C,F,2400,2400,"",2018-04-17T14:34:25Z
7,2018-04-25,22950,1F,F,30,30,"",2018-04-18T16:07:21Z
7,2018-04-25,22110,1S,T,100,130,"",2018-04-18T16:07:21Z
7,2018-04-25,22580,1A,P,200,230,"",2018-04-18T16:07:21Z
7,2018-04-25,21530,04,F,400,400,"",2018-04-18T16:07:21Z
7,2018-04-25,21230,1B,T,430,730,Om,2018-04-18T16:07:21Z
7,2018-04-25,34010,2F,P,800,900,DM,2018-04-18T16:07:21Z
7,2018-04-25,33430,2A,P,930,1030,"",2018-04-18T16:07:21Z
7,2018-04-25,32290,2B,P,1100,1300,"",2018-04-18T16:07:21Z
7,2018-04-25,30360,3B,T,1330,1630,Dm,2018-04-18T16:07:21Z
7,2018-04-25,34040,3C,P,1700,1830,"",2018-04-18T16:07:21Z
7,2018-04-25,34480,4A,T,1900,2030,EM,2018-04-18T16:07:21Z
7,2018-04-25,34450,4B,P,2100,2130,"",2018-04-18T16:07:21Z
7,2018-04-25,24430,4C,F,2400,2400,"",2018-04-18T16:07:21Z
7,2018-04-26,23630,1F,F,30,30,"",2018-04-19T14:11:12Z
7,2018-04-26,22880,1S,T,100,130,"",2018-04-19T14:11:12Z
7,2018-04-26,23960,1A,P,200,230,"",2018-04-19T14:11:12Z
7,2018-04-26,22380,04,F,400,400,Om,2018-04-19T14:11:12Z
7,2018-04-26,22490,1B,T,430,730,"",2018-04-19T14:11:12Z
7,2018-04-26,34830,2F,P,800,900,DM,2018-04-19T14:11:12Z
7,2018-04-26,34230,2A,P,930,1030,"",2018-04-19T14:11:12Z
7,2018-04-26,33360,2B,P,1100,1300,"",2018-04-19T14:11:12Z
7,2018-04-26,31170,3B,T,1330,1630,Dm,2018-04-19T14:11:12Z
7,2018-04-26,35380,3C,P,1700,1830,"",2018-04-19T14:11:12Z
7,2018-04-26,35540,4A,T,1900,2030,EM,2018-04-19T14:11:12Z
7,2018-04-26,35510,4B,P,2100,2130,"",2018-04-19T14:11:12Z
7,2018-04-26,25410,4C,F,2400,2400,"",2018-04-19T14:11:12Z
7,2018-04-27,23430,1F,F,30,30,"",2018-04-20T16:22:01Z
7,2018-04-27,23270,1S,T,100,130,"",2018-04-20T16:22:01Z
7,2018-04-27,23920,1A,P,200,230,"",2018-04-20T16:22:01Z
7,2018-04-27,22890,04,F,400,400,Om,2018-04-20T16:22:01Z
7,2018-04-27,23090,1B,T,430,730,"",2018-04-20T16:22:01Z
7,2018-04-27,34960,2F,P,800,900,DM,2018-04-20T16:22:01Z
7,2018-04-27,34590,2A,P,930,1030,"",2018-04-20T16:22:01Z
7,2018-04-27,32760,2B,P,1100,1300,"",2018-04-20T16:22:01Z
7,2018-04-27,29410,3B,T,1330,1630,Dm,2018-04-20T16:22:01Z
7,2018-04-27,33460,4A,T,1900,2000,EM,2018-04-20T16:22:01Z
7,2018-04-27,33090,4B,P,2030,2130,"",2018-04-20T16:22:01Z
7,2018-04-27,25140,4C,F,2400,2400,"",2018-04-20T16:22:01Z
7,2018-04-28,23340,1F,F,30,30,"",2018-04-21T11:02:28Z
7,2018-04-28,22750,1S,T,100,130,"",2018-04-21T11:02:28Z
7,2018-04-28,23170,1A,P,200,230,"",2018-04-21T11:02:28Z
7,2018-04-28,22020,04,F,400,400,"",2018-04-21T11:02:28Z
7,2018-04-28,21490,1B,T,430,730,Om,2018-04-21T11:02:28Z
7,2018-04-28,29630,2F,P,800,900,"",2018-04-21T11:02:28Z
7,2018-04-28,30360,2A,P,930,1030,DM,2018-04-21T11:02:28Z
7,2018-04-28,29040,2B,P,1100,1300,"",2018-04-21T11:02:28Z
7,2018-04-28,25270,3B,T,1330,1630,Dm,2018-04-21T11:02:28Z
7,2018-04-28,30050,3C,P,1700,1900,"",2018-04-21T11:02:28Z
7,2018-04-28,30980,4A,T,1930,2000,EM,2018-04-21T11:02:28Z
7,2018-04-28,30590,4B,P,2030,2130,"",2018-04-21T11:02:28Z
7,2018-04-28,24110,4C,F,2400,2400,"",2018-04-21T11:02:28Z
7,2018-04-29,23100,1F,F,30,30,"",2018-04-22T12:04:45Z
7,2018-04-29,22570,1S,T,100,130,"",2018-04-22T12:04:45Z
7,2018-04-29,23500,1A,P,200,230,"",2018-04-22T12:04:45Z
7,2018-04-29,21110,1B,T,430,730,Om,2018-04-22T12:04:45Z
7,2018-04-29,26630,2F,P,800,900,"",2018-04-22T12:04:45Z
7,2018-04-29,28690,2A,P,930,1030,"",2018-04-22T12:04:45Z
7,2018-04-29,28730,2B,P,1100,1300,DM,2018-04-22T12:04:45Z
7,2018-04-29,26300,3B,T,1330,1630,Dm,2018-04-22T12:04:45Z
7,2018-04-29,30780,3C,P,1700,1900,"",2018-04-22T12:04:45Z
7,2018-04-29,32690,4A,T,1930,2000,EM,2018-04-22T12:04:45Z
7,2018-04-29,31980,4B,P,2030,2130,"",2018-04-22T12:04:45Z
7,2018-04-29,23980,4C,F,2400,2400,"",2018-04-22T12:04:45Z
7,2018-04-30,22160,1F,F,30,30,"",2018-04-23T16:14:26Z
7,2018-04-30,21880,1S,T,100,130,Om,2018-04-23T16:14:26Z
7,2018-04-30,23290,1A,P,200,230,"",2018-04-23T16:14:26Z
7,2018-04-30,21990,04,F,400,400,"",2018-04-23T16:14:26Z
7,2018-04-30,21890,1B,T,430,730,"",2018-04-23T16:14:26Z
7,2018-04-30,35410,2F,P,800,900,"",2018-04-23T16:14:26Z
7,2018-04-30,35470,2A,P,930,1030,DM,2018-04-23T16:14:26Z
7,2018-04-30,35430,2B,P,1100,1300,"",2018-04-23T16:14:26Z
7,2018-04-30,33190,3B,T,1330,1630,Dm,2018-04-23T16:14:26Z
7,2018-04-30,37420,3C,P,1700,1900,EM,2018-04-23T16:14:26Z
7,2018-04-30,36590,4A,T,1930,2000,"",2018-04-23T16:14:26Z
7,2018-04-30,35570,4B,P,2030,2130,"",2018-04-23T16:14:26Z
7,2018-04-30,25710,4C,F,2400,2400,"",2018-04-23T16:14:26Z
7,2018-05-01,23250,1F,F,30,30,"",2018-04-25T12:29:22Z
7,2018-05-01,23030,1S,T,100,130,"",2018-04-25T12:29:22Z
7,2018-05-01,23820,1A,P,200,230,"",2018-04-25T12:29:22Z
7,2018-05-01,23070,4,F,400,400,"",2018-04-25T12:29:22Z
7,2018-05-01,22910,1B,T,430,730,Om,2018-04-25T12:29:22Z
7,2018-05-01,35430,2F,P,800,900,DM,2018-04-25T12:29:22Z
7,2018-05-01,34950,2A,P,930,1030,"",2018-04-25T12:29:22Z
7,2018-05-01,34150,2B,P,1100,1300,"",2018-04-25T12:29:22Z
7,2018-05-01,31540,3B,T,1330,1630,Dm,2018-04-25T12:29:22Z
7,2018-05-01,35760,3C,P,1700,1900,EM,2018-04-25T12:29:22Z
7,2018-05-01,35750,4A,T,1930,2000,"",2018-04-25T12:29:22Z
7,2018-05-01,34940,4B,P,2030,2130,"",2018-04-25T12:29:22Z
7,2018-05-01,25080,4C,F,2400,2400,"",2018-04-25T12:29:22Z
7,2018-05-02,23250,1F,F,30,30,"",2018-04-25T12:30:34Z
7,2018-05-02,22940,1S,T,100,130,"",2018-04-25T12:30:34Z
7,2018-05-02,23790,1A,P,200,230,"",2018-04-25T12:30:34Z
7,2018-05-02,22690,4,F,400,400,"",2018-04-25T12:30:34Z
7,2018-05-02,22580,1B,T,430,730,Om,2018-04-25T12:30:34Z
